"plot","code","species","spha","forest","aoi","loc","treated"
155148,"QUCH","Canyon live oak",80,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155148,"QUKE","Black oak",221,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155149,"QUKE","Black oak",241,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155151,"ABCO","White fir",221,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155151,"CADE","Incense cedar",180,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155151,"PIJE","Jeffrey pine",20,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155151,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155151,"QUKE","Black oak",40,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155152,"ABCO","White fir",1644,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155152,"CADE","Incense cedar",2647,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155152,"PILA","Sugar pine",241,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155153,"QUKE","Black oak",60,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155154,"ABCO","White fir",40,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155154,"CADE","Incense cedar",100,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155155,"ABCO","White fir",100,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155155,"CADE","Incense cedar",40,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155155,"QUKE","Black oak",60,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155156,"QUKE","Black oak",361,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155158,"QUKE","Black oak",702,"Sierra","Sierra - Bass Lake","Foster16","Yes"
155161,"ABCO","White fir",60,"Sierra","Sierra - Bass Lake","Foster16","No"
155161,"CADE","Incense cedar",80,"Sierra","Sierra - Bass Lake","Foster16","No"
155161,"QUCH","Canyon live oak",140,"Sierra","Sierra - Bass Lake","Foster16","No"
155162,"ABCO","White fir",622,"Sierra","Sierra - Bass Lake","Foster16","No"
155162,"CADE","Incense cedar",581,"Sierra","Sierra - Bass Lake","Foster16","No"
155162,"PILA","Sugar pine",221,"Sierra","Sierra - Bass Lake","Foster16","No"
155162,"QUKE","Black oak",100,"Sierra","Sierra - Bass Lake","Foster16","No"
155163,"ABCO","White fir",20,"Sierra","Sierra - Bass Lake","Foster16","No"
155163,"CADE","Incense cedar",401,"Sierra","Sierra - Bass Lake","Foster16","No"
155163,"CONU"," ",20,"Sierra","Sierra - Bass Lake","Foster16","No"
155163,"PILA","Sugar pine",80,"Sierra","Sierra - Bass Lake","Foster16","No"
155163,"QUKE","Black oak",20,"Sierra","Sierra - Bass Lake","Foster16","No"
155164,"ABCO","White fir",501,"Sierra","Sierra - Bass Lake","Foster16","No"
155164,"CADE","Incense cedar",1825,"Sierra","Sierra - Bass Lake","Foster16","No"
155164,"CONU"," ",160,"Sierra","Sierra - Bass Lake","Foster16","No"
155164,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Foster16","No"
155164,"QUKE","Black oak",301,"Sierra","Sierra - Bass Lake","Foster16","No"
155165,"ABCO","White fir",200,"Sierra","Sierra - Bass Lake","Foster16","No"
155165,"CADE","Incense cedar",902,"Sierra","Sierra - Bass Lake","Foster16","No"
155165,"CONU"," ",40,"Sierra","Sierra - Bass Lake","Foster16","No"
155165,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Foster16","No"
155165,"QUCH","Canyon live oak",120,"Sierra","Sierra - Bass Lake","Foster16","No"
155165,"QUKE","Black oak",80,"Sierra","Sierra - Bass Lake","Foster16","No"
155166,"ABCO","White fir",60,"Sierra","Sierra - Bass Lake","Foster16","No"
155166,"CADE","Incense cedar",160,"Sierra","Sierra - Bass Lake","Foster16","No"
155166,"PILA","Sugar pine",160,"Sierra","Sierra - Bass Lake","Foster16","No"
155166,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Foster16","No"
155166,"QUKE","Black oak",241,"Sierra","Sierra - Bass Lake","Foster16","No"
155167,"CADE","Incense cedar",20,"Sierra","Sierra - Bass Lake","Foster16","No"
155167,"QUKE","Black oak",180,"Sierra","Sierra - Bass Lake","Foster16","No"
155167,"SALIX","Willow sp.",20,"Sierra","Sierra - Bass Lake","Foster16","No"
155168,"ABCO","White fir",200,"Sierra","Sierra - Bass Lake","Foster16","No"
155168,"CONU"," ",40,"Sierra","Sierra - Bass Lake","Foster16","No"
155168,"QUCH","Canyon live oak",80,"Sierra","Sierra - Bass Lake","Foster16","No"
155168,"QUKE","Black oak",341,"Sierra","Sierra - Bass Lake","Foster16","No"
167601,"CADE","Incense cedar",221,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167601,"PILA","Sugar pine",120,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167601,"QUCH","Canyon live oak",180,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
